speaker_name,sample_name,model_id,nat_mean,int_mean,model_id_int_max,model_id_nat_max,model_name,kind
F01_kablab,ATR503_j36,(1),2.3333333333333335,2.0,(2-b),(2-b),20240621_134621,pred
F01_kablab,ATR503_j36,(2-a),1.3333333333333333,3.0,(2-b),(2-b),20240621_155144,pred
F01_kablab,ATR503_j36,(2-b),3.3333333333333335,3.6666666666666665,(2-b),(2-b),20240621_202419,pred
F01_kablab,ATR503_j36,(2-c),2.3333333333333335,2.0,(2-b),(2-b),20240622_003027,pred
F01_kablab,ATR503_j36,(3-a),1.6666666666666667,2.3333333333333335,(2-b),(2-b),20240622_103111,pred
F01_kablab,ATR503_j36,(3-b),2.0,2.6666666666666665,(2-b),(2-b),20240623_001016,pred
F01_kablab,ATR503_j36,(3-c),2.3333333333333335,2.3333333333333335,(2-b),(2-b),20240622_161416,pred
F01_kablab,ATR503_j36,(4),3.3333333333333335,4.0,(2-b),(2-b),20240621_134621,abs
F01_kablab,ATR503_j36,(5),5.0,5.0,(2-b),(2-b),20240621_134621,gt
F01_kablab,ATR503_j44,(1),1.6666666666666667,2.6666666666666665,(2-b),(2-b),20240621_134621,pred
F01_kablab,ATR503_j44,(2-a),2.3333333333333335,3.3333333333333335,(2-b),(2-b),20240621_155144,pred
F01_kablab,ATR503_j44,(2-b),3.0,3.3333333333333335,(2-b),(2-b),20240621_202419,pred
F01_kablab,ATR503_j44,(2-c),2.3333333333333335,2.3333333333333335,(2-b),(2-b),20240622_003027,pred
F01_kablab,ATR503_j44,(3-a),2.3333333333333335,1.6666666666666667,(2-b),(2-b),20240622_103111,pred
F01_kablab,ATR503_j44,(3-b),2.6666666666666665,2.3333333333333335,(2-b),(2-b),20240623_001016,pred
F01_kablab,ATR503_j44,(3-c),2.0,1.6666666666666667,(2-b),(2-b),20240622_161416,pred
F01_kablab,ATR503_j44,(4),3.6666666666666665,3.6666666666666665,(2-b),(2-b),20240621_134621,abs
F01_kablab,ATR503_j44,(5),4.0,5.0,(2-b),(2-b),20240621_134621,gt
F01_kablab,ATR503_j51,(1),1.6666666666666667,1.6666666666666667,(2-b),(2-b),20240621_134621,pred
F01_kablab,ATR503_j51,(2-a),2.3333333333333335,2.3333333333333335,(2-b),(2-b),20240621_155144,pred
F01_kablab,ATR503_j51,(2-b),2.3333333333333335,3.0,(2-b),(2-b),20240621_202419,pred
F01_kablab,ATR503_j51,(2-c),1.6666666666666667,1.6666666666666667,(2-b),(2-b),20240622_003027,pred
F01_kablab,ATR503_j51,(3-a),2.0,1.6666666666666667,(2-b),(2-b),20240622_103111,pred
F01_kablab,ATR503_j51,(3-b),1.0,1.0,(2-b),(2-b),20240623_001016,pred
F01_kablab,ATR503_j51,(3-c),2.3333333333333335,2.3333333333333335,(2-b),(2-b),20240622_161416,pred
F01_kablab,ATR503_j51,(4),4.0,4.333333333333333,(2-b),(2-b),20240621_134621,abs
F01_kablab,ATR503_j51,(5),4.333333333333333,5.0,(2-b),(2-b),20240621_134621,gt
F02_kablab,ATR503_j12,(1),2.3333333333333335,1.3333333333333333,(2-b),(2-b),20240621_134621,pred
F02_kablab,ATR503_j12,(2-a),1.6666666666666667,1.0,(2-b),(2-b),20240621_155144,pred
F02_kablab,ATR503_j12,(2-b),2.3333333333333335,1.6666666666666667,(2-b),(2-b),20240621_202419,pred
F02_kablab,ATR503_j12,(2-c),1.6666666666666667,1.0,(2-b),(2-b),20240622_003027,pred
F02_kablab,ATR503_j12,(3-a),1.3333333333333333,1.3333333333333333,(2-b),(2-b),20240622_103111,pred
F02_kablab,ATR503_j12,(3-b),2.0,1.3333333333333333,(2-b),(2-b),20240623_001016,pred
F02_kablab,ATR503_j12,(3-c),1.6666666666666667,1.0,(2-b),(2-b),20240622_161416,pred
F02_kablab,ATR503_j12,(4),3.0,3.6666666666666665,(2-b),(2-b),20240621_134621,abs
F02_kablab,ATR503_j12,(5),3.6666666666666665,4.0,(2-b),(2-b),20240621_134621,gt
F02_kablab,ATR503_j20,(1),1.0,1.0,(2-b),(2-b),20240621_134621,pred
F02_kablab,ATR503_j20,(2-a),1.3333333333333333,1.3333333333333333,(2-b),(2-b),20240621_155144,pred
F02_kablab,ATR503_j20,(2-b),2.3333333333333335,1.3333333333333333,(2-b),(2-b),20240621_202419,pred
F02_kablab,ATR503_j20,(2-c),1.6666666666666667,1.0,(2-b),(2-b),20240622_003027,pred
F02_kablab,ATR503_j20,(3-a),1.3333333333333333,1.0,(2-b),(2-b),20240622_103111,pred
F02_kablab,ATR503_j20,(3-b),2.0,1.0,(2-b),(2-b),20240623_001016,pred
F02_kablab,ATR503_j20,(3-c),1.0,1.0,(2-b),(2-b),20240622_161416,pred
F02_kablab,ATR503_j20,(4),3.6666666666666665,4.0,(2-b),(2-b),20240621_134621,abs
F02_kablab,ATR503_j20,(5),4.333333333333333,4.333333333333333,(2-b),(2-b),20240621_134621,gt
F02_kablab,ATR503_j33,(1),2.0,1.0,(2-b),(2-b),20240621_134621,pred
F02_kablab,ATR503_j33,(2-a),1.3333333333333333,1.0,(2-b),(2-b),20240621_155144,pred
F02_kablab,ATR503_j33,(2-b),2.0,1.6666666666666667,(2-b),(2-b),20240621_202419,pred
F02_kablab,ATR503_j33,(2-c),1.6666666666666667,1.3333333333333333,(2-b),(2-b),20240622_003027,pred
F02_kablab,ATR503_j33,(3-a),1.0,1.0,(2-b),(2-b),20240622_103111,pred
F02_kablab,ATR503_j33,(3-b),1.3333333333333333,1.0,(2-b),(2-b),20240623_001016,pred
F02_kablab,ATR503_j33,(3-c),1.6666666666666667,1.0,(2-b),(2-b),20240622_161416,pred
F02_kablab,ATR503_j33,(4),3.3333333333333335,4.0,(2-b),(2-b),20240621_134621,abs
F02_kablab,ATR503_j33,(5),4.666666666666667,5.0,(2-b),(2-b),20240621_134621,gt
F02_kablab,ATR503_j34,(1),2.3333333333333335,1.6666666666666667,(2-b),(2-b),20240621_134621,pred
F02_kablab,ATR503_j34,(2-a),2.3333333333333335,1.3333333333333333,(2-b),(2-b),20240621_155144,pred
F02_kablab,ATR503_j34,(2-b),2.6666666666666665,2.0,(2-b),(2-b),20240621_202419,pred
F02_kablab,ATR503_j34,(2-c),2.0,1.3333333333333333,(2-b),(2-b),20240622_003027,pred
F02_kablab,ATR503_j34,(3-a),1.0,1.3333333333333333,(2-b),(2-b),20240622_103111,pred
F02_kablab,ATR503_j34,(3-b),2.3333333333333335,1.6666666666666667,(2-b),(2-b),20240623_001016,pred
F02_kablab,ATR503_j34,(3-c),2.3333333333333335,1.6666666666666667,(2-b),(2-b),20240622_161416,pred
F02_kablab,ATR503_j34,(4),4.666666666666667,3.3333333333333335,(2-b),(2-b),20240621_134621,abs
F02_kablab,ATR503_j34,(5),4.333333333333333,4.0,(2-b),(2-b),20240621_134621,gt
M01_kablab,ATR503_j15,(1),2.3333333333333335,1.6666666666666667,(2-b),(2-b),20240621_134621,pred
M01_kablab,ATR503_j15,(2-a),1.3333333333333333,1.0,(2-b),(2-b),20240621_155144,pred
M01_kablab,ATR503_j15,(2-b),3.0,2.6666666666666665,(2-b),(2-b),20240621_202419,pred
M01_kablab,ATR503_j15,(2-c),2.6666666666666665,1.0,(2-b),(2-b),20240622_003027,pred
M01_kablab,ATR503_j15,(3-a),1.3333333333333333,1.3333333333333333,(2-b),(2-b),20240622_103111,pred
M01_kablab,ATR503_j15,(3-b),2.0,1.3333333333333333,(2-b),(2-b),20240623_001016,pred
M01_kablab,ATR503_j15,(3-c),1.3333333333333333,1.6666666666666667,(2-b),(2-b),20240622_161416,pred
M01_kablab,ATR503_j15,(4),4.333333333333333,4.333333333333333,(2-b),(2-b),20240621_134621,abs
M01_kablab,ATR503_j15,(5),4.666666666666667,4.666666666666667,(2-b),(2-b),20240621_134621,gt
M01_kablab,ATR503_j16,(1),2.3333333333333335,2.0,(2-b),(2-b),20240621_134621,pred
M01_kablab,ATR503_j16,(2-a),2.3333333333333335,1.6666666666666667,(2-b),(2-b),20240621_155144,pred
M01_kablab,ATR503_j16,(2-b),3.0,2.6666666666666665,(2-b),(2-b),20240621_202419,pred
M01_kablab,ATR503_j16,(2-c),1.6666666666666667,1.6666666666666667,(2-b),(2-b),20240622_003027,pred
M01_kablab,ATR503_j16,(3-a),2.0,1.3333333333333333,(2-b),(2-b),20240622_103111,pred
M01_kablab,ATR503_j16,(3-b),1.6666666666666667,2.0,(2-b),(2-b),20240623_001016,pred
M01_kablab,ATR503_j16,(3-c),2.6666666666666665,1.3333333333333333,(2-b),(2-b),20240622_161416,pred
M01_kablab,ATR503_j16,(4),3.3333333333333335,3.0,(2-b),(2-b),20240621_134621,abs
M01_kablab,ATR503_j16,(5),4.333333333333333,4.666666666666667,(2-b),(2-b),20240621_134621,gt
M01_kablab,ATR503_j53,(1),2.3333333333333335,1.6666666666666667,(2-b),(2-b),20240621_134621,pred
M01_kablab,ATR503_j53,(2-a),2.3333333333333335,1.3333333333333333,(2-b),(2-b),20240621_155144,pred
M01_kablab,ATR503_j53,(2-b),3.3333333333333335,2.0,(2-b),(2-b),20240621_202419,pred
M01_kablab,ATR503_j53,(2-c),1.6666666666666667,1.0,(2-b),(2-b),20240622_003027,pred
M01_kablab,ATR503_j53,(3-a),2.3333333333333335,1.3333333333333333,(2-b),(2-b),20240622_103111,pred
M01_kablab,ATR503_j53,(3-b),2.3333333333333335,1.3333333333333333,(2-b),(2-b),20240623_001016,pred
M01_kablab,ATR503_j53,(3-c),1.6666666666666667,1.6666666666666667,(2-b),(2-b),20240622_161416,pred
M01_kablab,ATR503_j53,(4),4.666666666666667,5.0,(2-b),(2-b),20240621_134621,abs
M01_kablab,ATR503_j53,(5),4.333333333333333,5.0,(2-b),(2-b),20240621_134621,gt
M04_kablab,ATR503_j14,(1),2.6666666666666665,1.3333333333333333,(2-b),(2-b),20240621_134621,pred
M04_kablab,ATR503_j14,(2-a),2.3333333333333335,2.3333333333333335,(2-b),(2-b),20240621_155144,pred
M04_kablab,ATR503_j14,(2-b),3.3333333333333335,3.0,(2-b),(2-b),20240621_202419,pred
M04_kablab,ATR503_j14,(2-c),1.3333333333333333,1.3333333333333333,(2-b),(2-b),20240622_003027,pred
M04_kablab,ATR503_j14,(3-a),2.0,2.6666666666666665,(2-b),(2-b),20240622_103111,pred
M04_kablab,ATR503_j14,(3-b),2.0,2.3333333333333335,(2-b),(2-b),20240623_001016,pred
M04_kablab,ATR503_j14,(3-c),3.0,2.3333333333333335,(2-b),(2-b),20240622_161416,pred
M04_kablab,ATR503_j14,(4),4.333333333333333,4.333333333333333,(2-b),(2-b),20240621_134621,abs
M04_kablab,ATR503_j14,(5),3.3333333333333335,4.333333333333333,(2-b),(2-b),20240621_134621,gt
M04_kablab,ATR503_j15,(1),2.0,1.6666666666666667,(2-b),(2-b),20240621_134621,pred
M04_kablab,ATR503_j15,(2-a),2.6666666666666665,2.3333333333333335,(2-b),(2-b),20240621_155144,pred
M04_kablab,ATR503_j15,(2-b),2.6666666666666665,2.6666666666666665,(2-b),(2-b),20240621_202419,pred
M04_kablab,ATR503_j15,(2-c),2.0,2.3333333333333335,(2-b),(2-b),20240622_003027,pred
M04_kablab,ATR503_j15,(3-a),1.6666666666666667,1.6666666666666667,(2-b),(2-b),20240622_103111,pred
M04_kablab,ATR503_j15,(3-b),1.6666666666666667,2.3333333333333335,(2-b),(2-b),20240623_001016,pred
M04_kablab,ATR503_j15,(3-c),2.3333333333333335,2.3333333333333335,(2-b),(2-b),20240622_161416,pred
M04_kablab,ATR503_j15,(4),3.3333333333333335,4.0,(2-b),(2-b),20240621_134621,abs
M04_kablab,ATR503_j15,(5),5.0,5.0,(2-b),(2-b),20240621_134621,gt
